title,price,rating,reviews,image
"Samsung Galaxy S23 Ultra 5G (Green, 12GB, 256GB Storage)","1,03,490.",4.3 out of 5 stars,11 ratings,https://m.media-amazon.com/images/I/31W9+sE8McL._SY300_SX300_.jpg
"Samsung Galaxy S23 Ultra 5G (Green, 12GB, 256GB Storage)","1,21,999.",4.5 out of 5 stars,684 ratings,https://m.media-amazon.com/images/I/41kyuER2HjL._SX300_SY300_QL70_ML2_.jpg
"SAMSUNG Galaxy S23 Ultra 5G (12GB Ram, 512GB Storage) (Phantom Black)","1,21,899.",4.7 out of 5 stars,41 ratings,https://m.media-amazon.com/images/I/31PY-5QpWLL._SX300_SY300_QL70_ML2_.jpg
"Samsung Galaxy S23 Ultra 5G (Cream, 12GB, 256GB Storage)","1,01,800.",4.4 out of 5 stars,6 ratings,https://m.media-amazon.com/images/I/31O-GbBhP3L._SX300_SY300_QL70_ML2_.jpg
"Samsung Galaxy S23 Ultra 5G (Green, 12GB, 256GB Storage) & Galaxy Watch5 Pro LTE  (45 mm, Gray Titanium, Compatible with Android only)",Price not found,Previous page,,https://m.media-amazon.com/images/I/41qJKNnZcDL._SY300_SX300_QL70_ML2_.jpg
"Samsung Galaxy S23 Ultra 5G (Phantom Black, 12GB, 256GB Storage)","1,03,980.",4.2 out of 5 stars,84 ratings,https://m.media-amazon.com/images/I/31PY-5QpWLL._SX300_SY300_QL70_ML2_.jpg
"SAMSUNG Galaxy S23 Ultra 5G (Cream, 12GB RAM, 512GB Storage)","1,24,990.",4.4 out of 5 stars,21 ratings,https://m.media-amazon.com/images/I/31O-GbBhP3L._SX300_SY300_QL70_ML2_.jpg
"Samsung Galaxy S23 Ultra 5G (Cream, 12GB, 256GB Storage)","1,21,999.",4.5 out of 5 stars,684 ratings,https://m.media-amazon.com/images/I/41iKrrClH5L._SX300_SY300_QL70_ML2_.jpg
"(Refurbished) Samsung Galaxy S23 Ultra 5G (Green, 12GB, 256GB Storage)",Price not found,3.7 out of 5 stars,5 ratings,https://m.media-amazon.com/images/I/41kyuER2HjL._SX300_SY300_QL70_ML2_.jpg
"SAMSUNG Galaxy S23 Ultra 5G (Green, 12GB RAM, 512GB Storage)","1,23,990.",4.6 out of 5 stars,30 ratings,https://m.media-amazon.com/images/I/21VYp7Z4aiL._SX300_SY300_QL70_ML2_.jpg
"Samsung Galaxy S23 Ultra 5G (Green, 12GB, 512GB Storage)","1,34,999.",4.5 out of 5 stars,684 ratings,https://m.media-amazon.com/images/I/41kyuER2HjL._SX300_SY300_QL70_ML2_.jpg
"Samsung Galaxy S23 Ultra 5G (Phantom Black, 12GB, 256GB Storage)","1,21,999.",4.5 out of 5 stars,684 ratings,https://m.media-amazon.com/images/I/41WpkxwZ+WL._SY300_SX300_.jpg
"Samsung Galaxy S23 Ultra 5G (Phantom Black, 12GB, 512GB Storage)","1,34,999.",4.5 out of 5 stars,684 ratings,https://m.media-amazon.com/images/I/41WpkxwZ+WL._SY300_SX300_.jpg
"Samsung Galaxy S23 Ultra 5G (Cream, 12GB, 512GB Storage)","1,34,999.",4.5 out of 5 stars,684 ratings,https://m.media-amazon.com/images/I/41iKrrClH5L._SX300_SY300_QL70_ML2_.jpg
"(Refurbished) Samsung Galaxy S23 Ultra 5G (Phantom Black, 12GB, 256GB Storage)",Price not found,3.8 out of 5 stars,6 ratings,https://m.media-amazon.com/images/I/41WpkxwZ+WL._SY300_SX300_.jpg
"(Refurbished) Samsung Galaxy S23 Ultra 5G (Cream, 12GB, 256GB Storage)",Price not found,3.5 out of 5 stars,3 ratings,https://m.media-amazon.com/images/I/41iKrrClH5L._SX300_SY300_QL70_ML2_.jpg
